!GEAR.DAT - Gear data file for most shadowrun gear
!-------------------------------------------------
!
! This file originated with Paolo's Gear.Dat file. It now includes
! data from most sourcebooks and some things from the web. See
! BOOKS.DAT for a list of source books and for control of which
! books are included by software.
!
!
! 02/01/96 Paolo M: provide original version
! 02/04/96 JW: update
!          Gurth: add accessories field to firearms
! 08/13/99 McMackie: eliminate duplicate entries and add SR3 support
! 06/10/02 Wordman: add weapon entries and many corrections
! 12/14/02 Jon Yarwood: add SOTA entries
! 01/03/03 Josef Wegner: add Target: Wastelands entries
! 10/17/03 TinkerGnome: add Biotech from M&M
! 11/14/03 TinkerGnome: update lots of stuff with Ratings
! 02/21/04 OurTeam: corrections
! 04/18/04 TinkerGnome: Added skillsoft jukeboxes, rearranged firearms, added much chemtech
! 12/03/04 Thistledown: added SOTA2064
!-------
! Types (Formats):
0-1|Edged weapon|10|Concealability|Reach|Damage|Weight|Availability|$Cost|Street Index|Book.Page|Legal|Notes|
0-2|Bow and crossbow|9|Concealability|Str.Min.|Damage|Weight|Availability|$Cost|Street Index|Legal|Book.Page|
0-3|Firearms|10|Concealability|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Accessories|Book.Page|
0-4|Rockets and Missiles|9|Intelligence|Damage|Blast|Scatter|Weight|Availability|$Cost|Street Index|Book.Page|
0-5|Ammunition|7|Concealability|Damage|Weight|Availability|$Cost|Street Index|Book.Page|
0-6|Firearms Accessories|9|Mount|Concealability|Rating|Weight|Availability|$Cost|Street Index|Notes|Book.Page|
0-7|Explosives|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-8|Clothing and Armor|8|Concealability|Ballistic|Impact|Weight|Availability|$Cost|Street Index|Book.Page|
0-9|S+S Vision Enhancers|7|Concealability|Mag:|Weight|Availability|$Cost|Street Index|Book.Page|
0-10|Surveillance and Security|6|Concealability|Weight|Availability|$Cost|Street Index|Book.Page|
0-11|Custom Gear|6|Concealability|Weight|$Cost|Street Index|Availability|Book.Page|
0-12|Cyberdeck Other|4|Availability|$Cost|Street Index|Book.Page|
0-13|Biotech|6|Rating|Availability|Weight|$Cost|Street Index|Book.Page|
0-14|Lifestyle|6|Concealability|Weight|Availability|$Cost|Street Index|Book.Page|
0-15|Magical Equipment|5|KarmaCost|Availability|$Cost|Street Index|Book.Page|
0-17|Cars|10|Handling|Speed|Body|Armor|Sig|Apilot|Availability|$Cost|Street Index|Book.Page|
0-18|VehicleGear|4|Availability|$Cost|Street Index|Book.Page|
0-19|VehicleFire|9|Type|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Book.Page|
0-20|Chips|7|Type|Rating|Memory|Availability|$Cost|Street Index|Book.Page|
0-21|Stuff With Ratings|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-22|Drugs|7|Addiction|Tolerance|Edge|Availability|$Cost|Street Index|Book.Page|
0-23|Vehicle Modifications|4|$Cost|Equipment|CF|Book.Page|
0-24|SR3 Cars|11|Handling|Speed/Accel|Body/Armor|Sig/Autonav|Pilot/Sensor|Cargo/Load|Seating|$Cost|Avail|Street Index|Book.Page|
0-25|Lifestyle2|2|$Cost|Book.Page|
0-26|Extras|2|$Cost|Book.Page|
0-27|Miscellaneous Weapons|8|Intelligence|Concealability|Weight|$Cost|Availability|Street Index|Accessories|Book.Page|
0-28|Simsence|4|Availability|$Cost|Street Index|Book.Page|
0-29|Chemical s|8|Origin|Rating|Speed|Vector|Availability|$Cost|Street Index|Book.Page|
0-30|Pocket Secretaries|11|Form|Concealability|Weight|Memory|ECCM|Data Encrypt|Comm Encrypt|$Cost|Street Index|Legal|Book.Page|
0-31|FireForce Storage Frames|5|Weight|Points|$Cost|Notes|Book.Page|
0-32|FireForce Attachments|4|Points Used|$Cost|Notes|Book.Page|
0-33|Cyberdeck Other|5|Availability|$Cost|Multiplier|Street Index|Book.Page|
0-34|Toxins|7|Damage|Vector|Speed|Availability|$Cost|Street Index|Book.Page|
0-35|Nanoware Ratings|6|Type|Rating|Availability|$Cost|Street Index|Book.Page|
0-36|OCC Encoders|6|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-37|Cyberdeck Otaku|7|Availability|$Cost|Street Index|Multiplier|KarmaCost|Notes|Book.Page|
0-38|Credstick|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
!--------------------------------------------------------------------------------
!   1234567890123456789012345678901234567890123
1-Weapons
2-Melee weapons
3-Edged weapons
4-* Axe(EDG)                       1|2|1|(STR)S|2.5|2/4hrs|60|1|cb1.2|||
4-* Tomahawk(EDG)                  1|6|1|(STR)M|.5|4/48hrs|200|1|cc.8|||
4-* Two-Handed Sword(EDG)          1|2|1|(STR+3)S|5|6/48hrs|3000|3|sr2.???|||
4-* Utility Sword/Machete(EDG)     1|4|1|(STR+2)M|.75|4/72hrs|60|1|cb1.4|||
4-* Vibro Knife(EDG)               1|7|-|(STR)M|1|5/72hrs|1000|2|cc.8|||
4-* Vibro Sword(EDG)               1|3|1|(STR)S|2|5/72hrs|2000|2|cc.8|||
3-Clubs/Pole Arms/Staffs
4-* ACB Harmony Telescoping Staff  1|8/-|0/2|(STR+3)M Stun|2|20/60days|14000|3.6|tss.3|||
4-* AZ-150 Stun Baton(CLB)         1|5|1|8S Stun|1|3/36hrs|1500|2|cc.10|||
4-* Bo Staff(POL)                  1|2|2|(STR+3)M Stun|2|4/48hrs|50|1|cc.10|||
4-* Claymore(POL)                  1|-|2|(STR+1)S|6|4/48hrs|1000|2|cc.10|||
4-* Club(CLB)                      1|5|1|(STR+1)M Stun|1|2/6hrs|10|1|sr3.275|||
4-* Devil's Star mace(CLB)         1|-|2|(STR)S|10|6/48hrs|1500|3|sr2.???|||
4-* Excalibur Nightstick Mace(CLB) 1|2|1|(STR)M stun|5|6/48hrs|700|3|cb1.2|||
4-* Extendable Baton(CLB)          1|9/5|1|(STR+1)M Stun|1|3/24hrs|25|1|cc.10|||
4-* Harpoon(POL)                   1|2|2|(STR+2)M|4|4/48hrs|500|2|cc.10|||
4-* Halberd(POL)                   1|2|2|(STR)S|6|6/48hrs|1000|3|sr2.???|||
4-* Lance(POL)                     1|-|2|(kph/5)M|2|4/12hrs|60|1|sr2.???|||
4-* Long Spear(POL)                1|2|2|(STR)S|4|6/48hrs|1000|3|sr2.???|||
4-* Javelin(POL)                   1|3|2|(STR+2)L|2|4/48hrs|100|2|cc.10|||
4-* Mace(CLB)                      1|4|1|(STR+3)M Stun|2|5/48hrs|150|2|cc.10|||
4-* Mersch MX-23 Stunlance(POL)    1|2|2|(STR+2)L/9S Stun|3|5/48hrs|2500|1|sr2.???|||
4-* Mjolnir warhammer(CLB)         1|-|2|(STR+4)D|15|6/48hrs|2000|3|sr2.???|||
4-* Morning Star(CLB)              1|2|1|(STR+1)M|7|6/48hrs|1000|3|sr2.???|||
4-* Mystic Tech. Nunchaku(CLB)     1|4|1|(STR+2)M stun|.5|3/8hrs|800|.75|cb1.3|||
4-* No-Dachi(POL)                  1|-|2|(STR+1)S|5|8/72hrs|3000|3|cc.10|||
4-* Pipe, Lead (CLB)               1|5|1|(STR+1)M Stun|5|2/6hrs|10|1|sr3.328|||
4-* Pole Arm(POL)                  1|2|2|(STR+3)S|4|4/48hrs|500|2|sr3.275|||
4-* Rattan Stick(CLB)              1|5|1|(STR+1)M Stun|.2|2/6hrs|10|1|cc.10|||
4-* Sai(CLB)                       1|6|-|(STR+2)L Stun|1|4/48hrs|100|2|cc.10|||
4-* Nunchaku/Tonfa(CLB)            1|7|1|(STR+2)M stun|.5|3/8hrs|40|.75|cb1.2|||
4-* Nagagita(POL)                  1|2|1|(STR+1)|1.5|4/12hrs|50|1|cb1.2|||
4-* Sap(CLB)                       1|8|-|(STR+1)M Stun|0|2/6hrs|10|1|sr3.275|||
4-* Scythe(POL)                    1|-|2|(STR+1)S|7|6/48hrs|1000|3|sr2.???|||
4-* Skull Crusher warhammer(CLB)   1|2|1|(STR)S|5|6/48hrs|1000|3|sr2.???|||
4-* Sledgehammer(CLB)              1|1|1|(STR+2)S stun|3|2/4hrs|50|1|cb1.2|||
4-* Spear(POL)                     1|2|2|(STR+4)L|2|4/48hrs|200|2|cc.10|||
4-* Spiked Mace(CLB)               1|3|1|(STR+1)M|2|5/48hrs|150|2|cc.10|||
4-* Staff(POL)                     1|2|2|(STR+2)M Stun|2|3/24hrs|50|1|sr3.275|||
4-* Stun Baton(CLB)                1|4|1|6S Stun|1|3/36hrs|750|1|sr3.275|||
4-* Telescoping Staff(POL)         1|5/2|2|(STR+2)M Stun|3|4/48hrs|100|1|cc.10|||
4-* Tetsubo(CLB)                   1|-|2|(STR+3)S|3|5/24hrs|500|1|sr2.???|||
3-Whips/Flails
4-* Bullwhip(WHP)                  1|8|2|(STR)L|1|6/48hrs|100|1|sr2.???|||
4-* Cat With Nine Tails(WHP)       1|5|2|(STR+2)M|3|6/48hrs|1000|3|sr2.???|||
4-* Chain(WHP)                     1|10|1|(STR+2)M Stun|5|2/6hrs|10|1|cc.11|||
4-* Flail(WHP)                     1|3|2|(STR+1)M Stun|.75|4/12hrs|50|1|sr2.???|||
4-* Flogger whip(WHP)              1|6|2|(STR)M|1|6/48hrs|500|3|sr2.???|||
4-* Kendachi Monowhip(WHP)         1|9|3|10S|-|26/14 days|3500|3|cb1.3|||
4-* Kusarigama(WHP)                1|8|2|(STR+1)M|1|6/48hrs|200|2|cc.11|||
4-* Manriki-gusari(WHP)            1|10|2|(STR+2)L Stun|1|6/48hrs|150|2|cc.11|||
4-* Monofilament Whip(WHP)         1|10|1|10S|0|24/14days|3000|3|sr3.275|||
4-* Nomad Smartwhip(WHP)           1|6|2|(STR+3)L Datajack required|1|6/72hrs|600|1|cb1.3|||
4-* Morning Star(WHP)              1|4|2|(STR+2)M|2|5/48hrs|250|2|cc.11|||
4-* Nunchaku(WHP)                  1|7|1|(STR+1)M Stun|.75|4/48hrs|100|1|cc.11|||
4-* Three-section Staff(WHP)       1|4|2|(STR+2)M Stun|2|5/72hrs|200|2|cc.11|||
4-* Whip(WHP)                      1|5|2|(STR)L|.5|5/24hrs|300|2|sr3.275|||
3-Other
4-* Bio-Injector                   1|8|0|5L|-|14/7 days|15000|3|cp.29|||
4-* Bio-Injector                   1|8|0|5L + drug|.5|10/96hrs|15000|1|sr2.???|||
4-* Brass Knuckles(UNA)            1|16/4|0|(STR+1)M Stun|.2|2/24hrs|20|.75|sr2.???|||
4-* Chainsaw(Chainsaw)             1|-|1|(STR+2)S|4|3/6hrs|500|1|cc.11|||
4-* DinaTech F5C                   1|8|0|(STR/2)L/(STR)L|-|10/14 days|350|3|sr2.???|||
4-* Drug-A-Thug                    1|6|0|drug|.5|3/8hrs|150|2|sr2.???|||
4-* Entrenching Tool               1|3|-|(STR)M|.75|3/16hrs|50|1|cb1.2|||
4-* Fashion Gloves(UNA)            1|-|0|(STR+1)M Stun|.2|4/36hrs|350|1|sr2.???|||
4-* Hardliner Gloves(UNA)          1|9|-|(STR+1)M Stun|.5|2/24hrs|300|.75|cc.49|||
4-* IMI "Chainknife"               1|6|0|(STR+5)L|.75|6/48hrs|120|1.2|sr2.???|||
4-* Kitchen Sink                   1|-|0|((2x STR)-6)S Stun|10|always|100|1|sr2.???|||
4-* Shock Glove(UNA)               1|9|-|7S Stun|.5|5/48hrs|950|2|sr3.275|||
4-* SMP-1 Battleglove(UNA)         1|-|-|(STR+3)M|1.5|10/7 days|900|2|cb1.4|||
4-* Techtronica Black-Zap Glove    1|4|0|9S Stun|1|6/48hrs|1200|2.2|cb1.34|||
2-Projectile weapons
3-Bows
4-* Arrows                         2|3|-|(As bow)|.1|3/36hrs|10|1|10-D|sr3.276|
4-* Ranger-X Arrows                2|4|-|As bow|.08|4/36hrs|18|1|10P-D|cc.13|
4-* Arasaka Arms Half-Bow    (Bow) 2|3/6/10|3|6M|1.25|6/7 days|300|1.5|4-D|cb1.4|
4-* Eagletech "Bearcat" Self (Bow) 2|2/4|5|9M|1.25|6/72hrs|500|1.75|4-D|cb1.4|
4-* Eagletech "Tigercat" Comp(Bow) 2|1|5|8M|1.5|6/72hrs|500|1.75|5-D|cb1.4|
4-* Eagletech "Tomcat" Comp. (Bow) 2|2|5|9M|1.5|6/48hrs|750|1|5-D|cb1.4|
4-* Eagletech "Wildcat" Sport(Bow) 2|4|3|5M|1|3/36hrs|350|1|5P-D|cb1.4|
4-* Standard Bow             (Bow) 2|2|1+|(STR Min.+2)M|1|3/36hrs|100xSTR Min.|1|5-D|sr3.276|
4-* Standard Bow (for STR1)  (Bow) 2|2|1+|3M|1|3/36hrs|100|1|5-D|sr3.276|
4-* Standard Bow (for STR2)  (Bow) 2|2|1+|4M|1|3/36hrs|200|1|5-D|sr3.276|
4-* Standard Bow (for STR3)  (Bow) 2|2|1+|4M|1|3/36hrs|300|1|5-D|sr3.276|
4-* Standard Bow (for STR4)  (Bow) 2|2|1+|6M|1|3/36hrs|400|1|5-D|sr3.276|
4-* Standard Bow (for STR5)  (Bow) 2|2|1+|7M|1|3/36hrs|500|1|5-D|sr3.276|
4-* Standard Bow (for STR6)  (Bow) 2|2|1+|8M|1|3/36hrs|600|1|5-D|sr3.276|
4-* Standard Bow (for STR7)  (Bow) 2|2|1+|9M|1|3/36hrs|700|1|5-D|sr3.276|
4-* Standard Bow (for STR8)  (Bow) 2|2|1+|10M|1|3/36hrs|800|1|5-D|sr3.276|
4-* Standard Bow (for STR9)  (Bow) 2|2|1+|11M|1|3/36hrs|900|1|5-D|sr3.276|
4-* Standard Bow (for STR10) (Bow) 2|2|1+|12M|1|3/36hrs|1000|1|5-D|sr3.276|
4-* Standard Bow (for STR11) (Bow) 2|2|1+|13M|1|3/36hrs|1100|1|5-D|sr3.276|
4-* Standard Bow (for STR12) (Bow) 2|2|1+|14M|1|3/36hrs|1200|1|5-D|sr3.276|
4-* Ranger-X Bow (for STR2)  (Bow) 2|2|2+|6M|1.5|5/36hrs|240|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR3)  (Bow) 2|2|2+|7M|1.5|5/36hrs|360|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR4)  (Bow) 2|2|2+|8M|1.5|5/36hrs|480|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR5)  (Bow) 2|2|2+|9M|1.5|5/36hrs|600|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR6)  (Bow) 2|2|2+|10M|1.5|5/36hrs|720|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR7)  (Bow) 2|2|2+|11M|1.5|5/36hrs|840|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR8)  (Bow) 2|2|2+|12M|1.5|5/36hrs|960|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR9)  (Bow) 2|2|2+|13M|1.5|5/36hrs|1080|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR10) (Bow) 2|2|2+|14M|1.5|5/36hrs|1200|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR11) (Bow) 2|2|2+|15M|1.5|5/36hrs|1320|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR12) (Bow) 2|2|2+|16M|1.5|5/36hrs|1440|2|5P-D|cc.13|
3-Arrowheads
4-* Barbed                         2|-1|-|(As bow)|(As arrow)|+1/36hrs|+2|1|10P-D|cc.13|
4-* Explosive                      2|-1|-|(See Rules)|(As arrow)|+2/1wk|+20|1|8P-D|cc.13|
4-* EX Explosive                   2|-1|-|(See Rules)|(As arrow)|+4/2wks|+60|2|6P-D|cc.13|
4-* Hammerhead                     2|-1|-|(See Rules)|(As arrow)|+1/36hrs|+10|1|10P-D|cc.13|
4-* Incendiary                     2|-1|-|(See Rules)|(As arrow)|+4/2wks|+50|2|6-D|cc.13|
4-* Screamer                       2|-1|-|(See Rules)|(As arrow)|+1/24hrs|(As arrow)|1|Legal|cc.13|
3-Crossbows
4-* Bolts                          2|4|-|(As crossbow)|.05|5/36hrs|5|1|10-D|sr3.276|
4-* 10 Bolts                       2|4|-|(As crossbow)|.5|5/36hrs|50|1|10-D|sr3.276|
4-* Pistol Bolts                   2|6|-|(As pistol crossbow)|.04|4/36hrs|3|1|10P-D|cc.13|
4-* 10 Pistol Bolts                2|6|-|(As pistol crossbow)|.4|4/36hrs|30|1|10P-D|cc.13|
4-* Eagletech "Arbelest"     (MCB) 2|2|5|7M|3|8/7 days|500|1|6-D|cb1.5|
4-* Eagletech "Handbow"      (LCB) 2|5|1|3M|.5|2/24hrs|75|1|7-D|cb1.5|
4-* Eagletech "Scorpion"     (HCB) 2|-|5|8S|5|8/7 days|1500|1|5-D|cb1.5|
4-* Eagletech "Stryker"      (MCB) 2|2|2|4M|3.25|6/48hrs|440|1|6-D|cb1.5|
4-* Light Crossbow           (LCB) 2|2|3|6L|2|4/36hrs|300|1|5-D|sr3.276|
4-* Medium Crossbow          (MCB) 2|2|4|6M|3|5/36hrs|500|1|6-D|sr3.276|
4-* Nomad Hand Crosbow       (LCB) 2|-|1|3M|.5|10/7 days|100|1|7-D|cb1.5|
4-* Heavy Crossbow           (HCB) 2|-|5|8S|4|6/36hrs|750|1|6-D|sr3.276|
4-* Pistol Crossbow          (LCB) 2|5|2|4L|1|3/36hrs|200|1|8P-D|cc.13|
4-* Repeater Crossbow        (MCB) 2|2|4|6M|4|8/48hrs|800|2|5P-D|cc.13|
3-Accessories
4-* Bow Accessory Mount            2|-1|-|-|.1|2/24hrs|100|.9|Legal|cc.13|
3-Slings
4-* Sling Launcher            (SL) 2|-|5|Per object|7|1/14hrs|40|1|5-D|cc.13|
4-* Sling Shot (for 1 STR)    (SH) 2|8|1+|3L Stun|.5|2/12hrs|5|1|8-D|cc.13|
4-* Sling Shot (for 2 STR)    (SH) 2|8|1+|4L Stun|.5|2/12hrs|10|1|8-D|cc.13|
4-* Sling Shot (for 3 STR)    (SH) 2|8|1+|5L Stun|.5|2/12hrs|15|1|8-D|cc.13|
4-* Sling Shot (for 4 STR)    (SH) 2|8|1+|6L Stun|.5|2/12hrs|20|1|8-D|cc.13|
4-* Sling Shot (for 5 STR)    (SH) 2|8|1+|7L Stun|.5|2/12hrs|25|1|8-D|cc.13|
4-* Sling Shot (for 6 STR)    (SH) 2|8|1+|8L Stun|.5|2/12hrs|30|1|8-D|cc.13|
4-* Sling Shot (for 7 STR)    (SH) 2|8|1+|9L Stun|.5|2/12hrs|35|1|8-D|cc.13|
4-* Sling Shot (for 8 STR)    (SH) 2|8|1+|10L Stun|.5|2/12hrs|40|1|8-D|cc.13|
4-* Sling Shot (for 9 STR)    (SH) 2|8|1+|11L Stun|.5|2/12hrs|45|1|8-D|cc.13|
